periode_data,wilayah,jenis_olahan,jumlah_produksi
2023,Adm. Kep. Seribu,Pembekuan,0
2023,Adm. Kep. Seribu,Penggaraman/Pengeringan,209.24
2023,Adm. Kep. Seribu,Pemindangan,0
2023,Adm. Kep. Seribu,Pengasapan/Pemanggangan,0
2023,Adm. Kep. Seribu,Fermentasi,0
2023,Adm. Kep. Seribu,Pereduksian/ ekstraksi,0
2023,Adm. Kep. Seribu,Pelumatan daging ikan,5.67
2023,Adm. Kep. Seribu,Penanganan produk segar,0
2023,Adm. Kep. Seribu,Pengolahan lainnya,18.37
2023,Jakarta Pusat,Pembekuan,0
2023,Jakarta Pusat,Penggaraman/Pengeringan,0
2023,Jakarta Pusat,Pemindangan,4161
2023,Jakarta Pusat,Pengasapan/Pemanggangan,0
2023,Jakarta Pusat,Fermentasi,0
2023,Jakarta Pusat,Pereduksian/ ekstraksi,0
2023,Jakarta Pusat,Pelumatan daging ikan,11.85
2023,Jakarta Pusat,Penanganan produk segar,0
2023,Jakarta Pusat,Pengolahan lainnya,0.19
2023,Jakarta Utara,Pembekuan,0
2023,Jakarta Utara,Penggaraman/Pengeringan,11304.63
2023,Jakarta Utara,Pemindangan,1567.8
2023,Jakarta Utara,Pengasapan/Pemanggangan,98.46
2023,Jakarta Utara,Fermentasi,0
2023,Jakarta Utara,Pereduksian/ ekstraksi,0
2023,Jakarta Utara,Pelumatan daging ikan,96.65
2023,Jakarta Utara,Penanganan produk segar,0
2023,Jakarta Utara,Pengolahan lainnya,73.27
2023,Jakarta Timur,Pembekuan,0.78
2023,Jakarta Timur,Penggaraman/Pengeringan,0
2023,Jakarta Timur,Pemindangan,4127.34
2023,Jakarta Timur,Pengasapan/Pemanggangan,0
2023,Jakarta Timur,Fermentasi,0
2023,Jakarta Timur,Pereduksian/ ekstraksi,0
2023,Jakarta Timur,Pelumatan daging ikan,662.77
2023,Jakarta Timur,Penanganan produk segar,0
2023,Jakarta Timur,Pengolahan lainnya,261.59
2023,Jakarta Selatan,Pembekuan,0
2023,Jakarta Selatan,Penggaraman/Pengeringan,0
2023,Jakarta Selatan,Pemindangan,2045.92
2023,Jakarta Selatan,Pengasapan/Pemanggangan,9.85
2023,Jakarta Selatan,Fermentasi,0
2023,Jakarta Selatan,Pereduksian/ ekstraksi,0
2023,Jakarta Selatan,Pelumatan daging ikan,6.5
2023,Jakarta Selatan,Penanganan produk segar,0
2023,Jakarta Selatan,Pengolahan lainnya,2.98
2023,Jakarta Barat,Pembekuan,237.16
2023,Jakarta Barat,Penggaraman/Pengeringan,0
2023,Jakarta Barat,Pemindangan,138.62
2023,Jakarta Barat,Pengasapan/Pemanggangan,0
2023,Jakarta Barat,Fermentasi,0
2023,Jakarta Barat,Pereduksian/ ekstraksi,0
2023,Jakarta Barat,Pelumatan daging ikan,87.08
2023,Jakarta Barat,Penanganan produk segar,11.48
2023,Jakarta Barat,Pengolahan lainnya,0